name                  , bleu               , meteor            , chrf
zero-shot-rules       , 0.08035394183385727, 0.5167272686360252, 0.6367231011785558
zero-shot-cot         , 0.09137517056305035, 0.5156182278495899, 0.6393885255918907
zero-shot-glossary    , 0.12661837217704228, 0.5249817496571316, 0.6431069356690933
zero-shot-full        , 0.11611550536586124, 0.4634372308424375, 0.621194865201942
few-shot-5-rules      , 0.16265789588649243, 0.5545349963303264, 0.6630511333654328
few-shot-10-rules     , 0.20912965090942529, 0.588725999766977 , 0.6786606674294542
few-shot-10-cot       , 0.20707600025742104, 0.581307946171581 , 0.6777754240166444
few-shot-10-negative  , 0.1642011341628515 , 0.5525319247125172, 0.6551866011345326
few-shot-10-curriculum, 0.22768127124222434, 0.601540491553139 , 0.6877055576377608
few-shot-10-diverse   , 0.1506610954974033 , 0.5646357778528523, 0.6554109848524405
few-shot-10-full      , 0.15928418040047865, 0.5143352601794073, 0.6482725583009374
